Payroll Number,Payroll Group ID,National Insurance Number,Title,First Name,Surname,Gender,Date of Birth,Address Line 1,Address Line 2,Address Line 3,Postcode,Department,Basic Salary,Start Date,Date of Leaving,Reason for Leaving,Smart Pension Indicator,Bulmers
3009001,077,AB300401A,Mr,BYSeventySeven A,SNAcctRegA,M,05/11/1968,Sample Add 1,Sample Add 1,Sample Add 1,EC3A 8EP,Supply Chain,142938,07/04/2014,,,Y,
3009002,077,AB300402A,Miss,BYSeventySeven B,SNAcctRegB,F,05/05/1985,Sample Add 2,Sample Add 2,Sample Add 2,EC3A 8EP,Finance,142938,07/04/2014,,,N,
3009003,077,AB300403A,Lord,BYSeventySeven C,SNAcctRegC,M,01/05/1967,Sample Add 3,Sample Add 3,Sample Add 3,EC3A 8EP,Finance,500000,07/04/2014,,,Y,
3009004,542,AB300404A,Dame,BYSeventySeven D,SNAcctRegD,F,02/12/1987,Sample Add 4,Sample Add 4,Sample Add 4,EC3A 8EP,Finance,750000,07/04/2014,,,N,
3009005,542,AB300405A,Dr,BYSeventySeven E,SNAcctRegE,M,23/11/1975,Sample Add 5,Sample Add 5,Sample Add 5,EC3A 8EP,Bus. Systems,156894,07/04/2014,,,Y,
3009006,543,AB300406A,Mrs,BYSeventySeven F,SNAcctRegF,F,05/11/1968,Sample Add 6,Sample Add 6,Sample Add 6,EC3A 8EP,Finance,142938,07/04/2014,,,N,
3009007,543,AB300407A,Mr,BYSeventySeven G,SNAcctRegG,M,05/05/1985,Sample Add 7,Sample Add 7,Sample Add 7,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
3009008,543,AB300408A,Miss,BYSeventySeven H,SNAcctRegH,F,01/05/1967,Sample Add 8,Sample Add 8,Sample Add 8,EC3A 8EP,Finance,500000,07/04/2014,,,N,
3009009,543,AB300409A,Lord,BYSeventySeven I,SNAcctRegI,M,02/12/1987,Sample Add 9,Sample Add 9,Sample Add 9,EC3A 8EP,Finance,750000,07/04/2014,,,Y,
3009010,77,AB300410A,Dame,BYSeventySeven J,SNAcctRegJ,F,23/11/1975,Sample Add 10,Sample Add 10,Sample Add 10,EC3A 8EP,Bus. Systems,156894,07/04/2014,,,N,
3009011,77,AB300411A,Dr,"BYSeventy,Seven K","SN""AcctReg""K",M,05/11/1968,Sample Add 11,Sample Add 11,Sample Add 11,EC3A 8EP,Finance,846533.225,07/04/2014,,,Y,
3009012,77,AB300412A,Mrs,"BYSeventy""Seven L""","SN,AcctRegL",F,05/05/1985,Sample Add 12,Sample Add 12,Sample Add 12,EC3A 8EP,Finance,910030.678,07/04/2014,,,N,
3009013,77,AB300413A,Mr,BYSeventySeven M,SNAcctRegM,M,01/05/1967,"Sample, Add 13","Sample, Add 13","Sample ""Add 13""",EC3A 8EP,Finance,973528.444,07/04/2014,,,Y,
3009014,77,AB300414A,Miss,BYSeventySeven N,SNAcctRegN,F,02/12/1987,"Sample ""Add 14""","Sample"" Add 14""","Sample, Add 14",EC3A 8EP,Finance,142938.457,07/04/2014,,,N,
3009015,77,AB300415A,Lord,BYSeventySeven O,SNAcctRegO,M,23/11/1975,Sample Add 15Sample Add 15Sample Add 15,Sample Add 15Sample Add 15Sample Add 15,Sample Add 15Sample Add 15Sample Add 15,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,
3009016,77,AB300416A,Mr,BYSeventySeven P,SNAcctRegP,F,05/11/1968,Sample Add 16,,Sample Add 16,EC3A 8EP,Finance,500000,07/04/2014,,,N,
3009017,77,AB300417A,Miss,BYSeventySeven Q,SNAcctRegQ,M,05/05/1985,Sample Add 17,Sample Add 17,Sample Add 17,,Finance,750000,07/04/2014,,,Y,
3009018,77,AB300418A,Lord,BYSeventySeven R,SNAcctRegR,F,01/05/1967,Sample Add 18,Sample Add 18,Sample Add 18,EC3A 8EP,Finance,156894,07/04/2014,,,N,
3009019,77,AB300419A,Dame,BYSeventySeven S,SNAcctRegS,M,02/12/1987,Sample Add 19,Sample Add 19,Sample Add 19,EC3A 8EP,Bus. Systems,783035.8,07/04/2014,,,Y,
3009020,77,AB300420A,Dr,BYSeventySeven T,SNAcctRegT,F,23/11/1975,Sample Add 20,Sample Add 20,Sample Add 20,EC3A 8EP,Finance,846533.2,07/04/2014,,,N,
3009021,77,AB300421A,Mrs,BYSeventySeven U,SNAcctRegU,M,05/11/1968,Sample Add 21,Sample Add 21,Sample Add 21,EC3A 8EP,Finance,910030.6,07/04/2014,,,Y,
3009022,77,AB300422A,Mr,BYSeventySeven V,SNAcctRegV,F,05/05/1985,Sample Add 22,Sample Add 22,Sample Add 22,EC3A 8EP,Finance,973528,07/04/2014,,,N,
3009023,77,AB300423A,Miss,BYSeventySeven W,SNAcctRegW,M,01/05/1967,Sample Add 23,Sample Add 23,Sample Add 23,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
3009024,77,AB300424A,Lord,BYSeventySeven X,SNAcctRegX,F,02/12/1987,Sample Add 24,Sample Add 24,Sample Add 24,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,N,
3009025,77,AB300425A,Dame,BYSeventySeven Y,SNAcctRegY,M,23/11/1975,Sample Add 25,Sample Add 25,Sample Add 25,EC3A 8EP,Finance,500000,07/04/2014,,,Y,
