Payroll Number,Payroll Group ID,National Insurance Number,Title,First Name,Surname,Gender,Date of Birth,Address Line 1,Address Line 2,Address Line 3,Postcode,Department,Basic Salary,Start Date,Date of Leaving,Reason for Leaving,Smart Pension Indicator,Bulmers
1310001,542,AB131001A,Mr,ByfnameA,BysnameA,M,05/11/1968,Sample Add 1,Sample Add 1,Sample Add 1,EC3A 8EP,Supply Chain,142938,07/04/2014,,,Y,
1310002,542,AB131002A,Miss,ByfnameB,BysnameB,F,05/05/1985,Sample Add 2,Sample Add 2,Sample Add 2,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310003,542,AB131003A,Lord,ByfnameC,BysnameC,M,01/05/1967,Sample Add 3,Sample Add 3,Sample Add 3,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310004,542,AB131004A,Dame,ByfnameD,BysnameD,F,02/12/1987,Sample Add 4,Sample Add 4,Sample Add 4,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310005,542,AB131005A,Dr,ByfnameE,BysnameE,M,23/11/1975,Sample Add 5,Sample Add 5,Sample Add 5,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,
1310006,542,AB131006A,Mrs,ByfnameF,BysnameF,F,05/11/1968,Sample Add 6,Sample Add 6,Sample Add 6,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310007,542,AB131007A,Mr,ByfnameG,BysnameG,M,05/05/1985,Sample Add 7,Sample Add 7,Sample Add 7,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310008,542,AB131008A,Miss,ByfnameH,BysnameH,F,01/05/1967,Sample Add 8,Sample Add 8,Sample Add 8,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310009,542,AB131009A,Lord,ByfnameI,BysnameI,M,02/12/1987,Sample Add 9,Sample Add 9,Sample Add 9,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310010,542,AB131010A,Dame,ByfnameJ,BysnameJ,F,23/11/1975,Sample Add 10,Sample Add 10,Sample Add 10,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,N,
1310011,542,AB131011A,Dr,ByfnameK,BysnameK,M,05/11/1968,Sample Add 11,Sample Add 11,Sample Add 11,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310012,542,AB131012A,Mrs,ByfnameL,BysnameL,F,05/05/1985,Sample Add 12,Sample Add 12,Sample Add 12,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310013,542,AB131013A,Mr,ByfnameM,BysnameM,M,01/05/1967,Sample Add 13,Sample Add 13,Sample Add 13,EC3A 8EP,Finance,142938,07/04/2014,,,Y,
1310014,542,AB131014A,Miss,ByfnameN,BysnameN,F,02/12/1987,Sample Add 14,Sample Add 14,Sample Add 14,EC3A 8EP,Finance,142938,07/04/2014,,,N,
1310015,542,AB131015A,Lord,ByfnameO,BysnameO,M,23/11/1975,Sample Add 15,Sample Add 15,Sample Add 15,EC3A 8EP,Bus. Systems,142938,07/04/2014,,,Y,
1310016,542,AB131016A,Mr,ByfnameP,BysnameP,F,05/11/1968,Sample Add 16,Sample Add 16,Sample Add 16,EC3A 8EP,Finance,142938,07/04/2014,,,N,
