A,2014-08-10-06:12:00,,,,,,,,,,,,,,,,,,,,
Record Type,Staff Number,National Insurance Number,Title,First Names,Surname,Gender,Date of Birth,Address Line 1,Address Line 2,Address Line 3,Postcode,Salary,Start Date,Pensionable Service Start Date,Date of Leaving,Pension Plan Code,Payroll Code,Date eligible for Pension Plan,Eligibility for Salary Sacrifice for Pensions Flag,Work Email Address,Reason for Leaving
D,4781481,SR478381A,Mr,shivaab,A,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222222,08/10/2014,08/10/2014,,2,1,,No,abc@midlands.com,
D,4781482,SR478382A,Ms,shivaac,B,Female,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222223,08/10/2014,08/10/2014,,1,1,,No,abc@midlands.com,
D,4781483,SR478383A,Mr,shivaad,C,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222224,08/10/2014,08/10/2014,,1,1,,Yes,abc@midlands.com,
D,4781484,SR478384A,Ms,shivaae,D,Female,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222225,08/10/2014,08/10/2014,,3,1,,Yes,abc@midlands.com,
D,4781485,SR478385A,Mr,shivaaf,E,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222226,08/10/2014,08/10/2014,,2,1,,Yes,abc@midlands.com,
D,4781486,SR478386A,Ms,shivaag,F,Female,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222227,08/10/2014,08/10/2014,,2,1,,Yes,abc@midlands.com,
D,4781487,SR478387A,Mr,shivaah,G,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222228,08/10/2014,08/10/2014,,1,1,,Yes,abc@midlands.com,
D,4781488,SR478388A,Mr,shivaai,H,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222229,08/10/2014,08/10/2014,,1,1,,Yes,abc@midlands.com,
D,4781489,SR478389A,Mr,shivaaj,I,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222230,08/10/2014,08/10/2014,,2,1,,No,abc@midlands.com,
D,4781490,SR478390A,Mr,shivaak,J,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222231,08/10/2014,08/10/2014,,3,1,,No,abc@midlands.com,
D,4781491,SR478391A,Ms,shivaal,K,Female,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222228,08/10/2014,08/10/2014,,2,2,,Yes,abc@midlands.com,
D,4781492,SR478392A,Mr,shivaam,L,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222229,08/10/2014,08/10/2014,,2,1,,No,abc@midlands.com,
D,4781493,SR478393A,Mrs,shivaan,M,Female,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,222230,08/10/2014,08/10/2014,,1,2,,No,abc@midlands.com,
D,4781494,SR478394A,Mr,shivaao,N,Male,21/03/1978,Addres  One,Any house 82,Any street 82,EH7 5AP,10000,08/10/2014,08/10/2014,,1,2,,Yes,abc@midlands.com,
T,14,,,,,,,,,,,,,,,,,,,,
