Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
1,20140601,AB030701A,9030701,Mr,Surnameone,Firstnameone,Middlenameone,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
2,20140601,A030702A,9030702,Ms,Surnametwo,Firstnametwo,Middlenametwo,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
3,20140601,AB030703A,9030703,Miss,Surnamethree,Firstnamethree,Middlenamethree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
4,20140601,AB030704A,9030704,Prof,Surnamefour,Firstnamefour,Middlenamefour,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
5,20140601,AB030705A,9030705,Prof,Surnamefive,Firstnamefive,Middlenamefive,M,19850105,,,,,EH6 5ES,ACTIVE,1900,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
6,20140601,AB030706A,9030706,Lord,Surnamesix,Firstnamesix,Middlenamesix,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
7,20140601,AB030707A,9030707,Commander-in-chief,Surnameseven,,Middlenameseven,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EHA 5ES,ACTIVE,8000,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
8,20140601,AB030708A,9030708,Mr,Surnameeight,Firstnameeight,Middlenameeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,ESA,10000,4,abc@xyz.com,,,,20140526,,35
9,20140601,AB030709A,9030709,Ms,Surnamenine,Firstnamenine,Middlenamenine,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,ESS,10000,5,abc@xyz.com,,,,20140526,,35
10,20140601,AB030710A,9030710,Miss,Surnameten,Firstnameten,Middlenameten,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DBA,10000,3,abc@xyz.com,,,,20140526,,35
11,20140601,AB030711A,9030711,Prof,Surnameeleven,Firstnameeleven,Middlenameeleven,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DBS,10000,4,abc@xyz.com,,,,20140526,,35
12,20140601,AB030712A,9030712,Dr,Surnametwelve,Firstnametwelve,Middlenametwelve,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
13,20140601,AB030713A,9030713,Lord,Surnamethirteen,Firstnamethirteen,Middlenamethirteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,DCS,10000,3,abc@xyz.com,,,,20140526,,35
14,20140601,AB030714A,9030714,Commander-in-chief,Surnamefourteen,Firstnamefourteen,Middlenamefourteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,ECA,10000,4,abc@xyz.com,,,,20140526,,35
15,20140601,AB030715A,9030715,Mr,Surnamefifteen,Firstnamefifteen,Middlenamefifteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,BCA,10000,5,abc@xyz.com,,,,20140526,,35
16,20140601,AB030716A,9030716,Ms,Surnamesixteen,Firstnamesixteen,Middlenamesixteen,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,ECS,10000,3,abc@xyz.com,,,,20140526,,35
17,20140601,AB030717A,9030717,Miss,Surnameseventeen,Firstnameseventeen,Middlenameseventeen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,BCS,10000,4,abc@xyz.com,,,,20140526,,35
18,20140601,AB030718A,9030718,Prof,Surnameeightteen,Firstnameeightteen,Middlenameeightteen,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000.456,NON,10000,,abc@xyz.com,,,,20140526,,35
19,20140601,AB030719A,9030719,Dr,Surnamenineteen,Firstnamenineteen,Middlenamenineteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,,10000.456,3,abc@xyz.com,,,,20140526,,35
20,20140601,AB030720A,9030720,Lord,Surnametwenty,Firstnametwenty,Middlenametwenty,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,ESS,10000,4,abc@xyz.com,,,,20140526,,35
21,20140601,AB030721A,9030721,Commander-in-chief,Surnametwentyone,Firstnametwentyone,Middlenametwentyone,M,19850105,Addressline1,,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DBA,10000,,abc@xyz.com,,,,20140526,,35
22,20140601,AB030722A,9030722,Mr,Surnametwentytwo,Firstnametwentytwo,Middlenametwentytwo,M,19850105,Addressline1,,,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DBS,10000,3,abc@xyz.com,,,,20140526,,35
