Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
1,20140601,AB060620A,9060620,Lord,Surnametwenty,Firstnametwenty,Middlenametwenty,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,NON,,,abc@xyz.com,,,,20140526,,35
2,20140601,AB060602A,9060602,Ms,Surnametwovalidationfortruncationuptothirtyfivecharacters,Firstnametwo,Middlenametwo,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
3,20140601,AB060603A,9060603,Miss,Surnamethree,Firstnamethreevalidationfortruncationuptothirtyfivecharacters,Middlenamethree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
4,20140601,AB060604A,9060604,Prof,Surnamefour,Firstnamefour,Middlenamefourvalidationfortruncationuptothirtyfivecharacters,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
5,20140601,AB060605A,9060605,Prof,Surnamefive,Firstnamefive,Middlenamefive,M,19850105,Addressline1validationfortruncationuptothirtycharacters,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
6,20140601,AB060606A,9060606,Lord,Surnamefsix,Firstnamesix,Middlenamesix,M,19850105,Addressline1,Addressline2validationfortruncationuptothirtycharacters,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
7,20140601,AB060607A,9060607,Commander-in-chief,Surnameseven,Firstnameseven,Middlenameseven,M,19850105,Addressline1,Addressline2,Lothianvalidationfortruncationuptothirtycharacters,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
8,20140601,AB060608A,9060608,Mr,Surnameeight,Firstnameeight,Middlenameeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
9,20140601,AB060609A,9060609,Ms,Surnamenine,Firstnamenine,Middlenamenine,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
10,20140601,AB060610A,9060610,Miss,Surnameten,Firstnameten,Middlenameten,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000.456,DCS,10000.456,3,abc@xyz.com,,,,20140526,,35
11,20140601,AB060611A,9060611,Prof,Surnameeleven,Firstnameeleven,Middlenameeleven,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
12,20140601,AB060612A,9060612,Dr,Surnametwelve,Firstnametwelve,Middlenametwelve,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
13,20140601,AB060613A,9060613,Lord,Surnamethirteen,Firstnamethirteen,Middlenamethirteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DCS,10000,3,abc@xyz.com,,,,20140526,,35
14,20140601,AB060614A,9060614,Commander-in-chief,Surnamefourteen,Firstnamefourteen,Middlenamefourteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,ECA,10000,4,,,,,20140526,,35
15,20140601,AB060615A,9060615,Mr,"Surn,ame""fifteen""","Firstname,fifteen","""Middle""namefifteen",M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCA,10000,5,abc@xyz.com,,,,20140526,,35
16,20140601,AB060616A,9060616,Ms,Surnamesixteen,Firstnamesixteen,Middlenamesixteen,F,19850105,1/2 Addressline1,"""Address""line2","Loth,ian",Edinburgh,EH6 5ES,ACTIVE,8000,10000,ECS,10000,3,abc@xyz.com,,,,20140526,,35
17,20140601,AB060617A,9060617,Miss,Surnameseventeen,Firstnameseventeen,Middlenameseventeen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,4,abc@xyz.com,,,,20140526,,35
18,20140601,AB060618A,9060618,Prof,Surnameeightteen,Firstnameeightteen,Middlenameeightteen,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,,NON,10000,,abc@xyz.com,,,,20140526,,35
19,20140601,AB060619A,9060619,Dr,Surnamenineteen,Firstnamenineteen,Middlenamenineteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,NON,10000,,abc@xyz.com,,,,20140526,,35
20,20140601,AB060620A,9060620,Lord,Surnametwenty,Firstnametwenty,Middlenametwenty,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,NON,,,abc@xyz.com,,,,20140526,,35
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
