Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
1,20140601,AB230601A,9230601,Mrvalidationfortruncationuptothirtyfivecharacters,Surnameone,Firstnameone,Middlenameone,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
2,20140601,AB230602A,9230602,Ms,Surnametwovalidationfortruncationuptothirtyfivecharacters,Firstnametwo,Middlenametwo,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
3,20140601,AB230603A,9230603,Miss,Surnamethree,Firstnamethreevalidationfortruncationuptothirtyfivecharacters,Middlenamethree,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
4,20140601,AB230604A,9230604,Prof,Surnamefour,Firstnamefour,Middlenamefourvalidationfortruncationuptothirtyfivecharacters,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
5,20140601,AB230605A,9230605,Prof,Surnamefive,Firstnamefive,Middlenamefive,M,19850105,Addressline1validationfortruncationuptothirtycharacters,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
6,20140601,AB230606A,9230606,Lord,Surnamefsix,Firstnamesix,Middlenamesix,M,19850105,Addressline1,Addressline2validationfortruncationuptothirtycharacters,Lothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
7,20140601,AB230607A,9230607,Commander-in-chief,Surnameseven,Firstnameseven,Middlenameseven,M,19850105,Addressline1,Addressline2,Lothianvalidationfortruncationuptothirtycharacters,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
8,20140601,AB230608A,9230608,Mr,Surnameeight,Firstnameeight,Middlenameeight,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
9,20140601,AB230609A,9230609,Ms,Surnamenine,Firstnamenine,Middlenamenine,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,Aerion,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
10,20140601,AB230610A,9230610,Miss,Surnameten,Firstnameten,Middlenameten,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000.456,DCS,10000.456,3,abc@xyz.com,,,,20140526,,35
11,20140601,AB230611A,9230611,Prof,Surnameeleven,Firstnameeleven,Middlenameeleven,F,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
12,20140601,AB230612A,9230612,Dr,Surnametwelve,Firstnametwelve,Middlenametwelve,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,DCA,10000,5,abc@xyz.com,,,,20140526,,35
13,20140601,AB230613A,9230613,Lord,Surnamethirteen,Firstnamethirteen,Middlenamethirteen,M,19850105,Addressline1,Addressline2,Lothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,DCS,10000,3,abc@xyz.com,,,,20140526,,35
