Header,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row identifier,Record Effective Date,NI Number,Payroll Number,Title,Surname,First Name,Middle Name,Gender,Date of Birth,Address 1,Address 2,Town,City,Postcode,Employment Status,Cost Centre/Payroll Area,Annual Base Salary,Pension scheme indicator,Annual pensionable salary,Contribution Percentage,Work Email Address,Organisation Unit Description Level 3,Organisation Unit Description Level 4,Organisation Unit Description Level 5,Start Date,Leaving Date,Weekly Hours Worked
1,20140601,AB210701A,9210701,Mr,Surbone,Firstbone,Middlebone,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
2,20140601,AB210702A,9210702,Ms,Surbtwo,Firstbtwo,Middlebtwo,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
3,20140601,AB210703A,9210703,Miss,Surbthree,Firstbthree,Middlebthree,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1200,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
4,20140601,AB210704A,9210704,Prof,Surbfour,Firstbfour,Middlebfour,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,2100,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
5,20140601,AB210705A,9210705,Prof,Surbfive,Firstbfive,Middlebfive,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1900,10000,ECS,10000,4,abc@xyz.com,,,,20140526,,35
6,20140601,AB210706A,9210706,Lord,Surbsix,Firstbsix,Middlebsix,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1600,10000,BCS,10000,5,abc@xyz.com,,,,20140526,,35
7,20140601,AB210707A,9210707,Commander-in-chief,Surbseven,Firstbseven,Middlebseven,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,8000,10000,DCA,10000,3,abc@xyz.com,,,,20140526,,35
8,20140601,AB210708A,9210708,Mr,Surbeight,Firstbeight,Middlebeight,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1100,10000,DCS,10000,4,abc@xyz.com,,,,20140526,,35
9,20140601,AB210709A,9210709,Ms,Surbnine,Firstbnine,Middlebnine,F,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1500,10000,ECA,10000,5,abc@xyz.com,,,,20140526,,35
10,20140601,AB210710A,9210710,Miss,Surbten,Firstbten,Middlebten,M,19850105,Addlane1,Addlane2,Midlothian,Edinburgh,EH6 5ES,ACTIVE,1000,10000,BCA,10000,3,abc@xyz.com,,,,20140526,,35
