Employee ID,Title,Forename,Preferred Name,Middle Name,Surname,Gender,National Insurance Number,Date of Birth,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Home Telephone,Email Address,Start Date,Date of Termination,Job Title,Job Grade,Payroll,Payroll Number,Annual Salary,Pensionable Salary,Username,Work Telephone,Site,Life Time Allowance Indicator,Employment Status,Pension,Expat,Annual hours,FTE
9241201,Dame,"Default,JoinACCTAF",New Joiner in BY,"Te""s""t",IPUKACCT Reg FA,M,SP241201A,01/02/1957,1/2 Any Street 42,"Any Street ""42""","Any,address 42",town1,county1,country11,EC5A 9EP,0044 (0) 1359250396,staff11@sl.com,24/12/2012,,,,Y,9241201,297615,297615,9241201,0044 (0) 1359250396,SCPFIPUK,N,ACT,DC,N,360,1
9241202,"""Dr""","Default""Join""ACCTAG",New Joiner in BY,"Te,st","IPUK""ACCT"" Reg GA",F,SP241202A,01/04/1967,"Any,Street 43",1/2 Any Street 43,"""Any"" address 43",town1,county1,country11,EC5A 9EP,00 44 (0) 1527 577675,staff11@sl.com,24/12/2012,,,,Y,9241202,297615.111,297615.111,9241202,00 44 (0) 1527 577675,SCPFIPUK,N,ACT,DC,N,360,1
9241203,Mr,DefaultJoinACCTAH,New Joiner in BY,Test,"IPUKACCT,Reg HA",M,SP241203A,01/04/1972,"Any ""Street"" 44","Any,Street 44",1/2 Any address 44,town1,county1,country11,EC5A 9EP,00 44 (0) 1527 577 675,staff11@sl.com,24/12/2012,,,,Y,9241203,297615.789,297615.789,9241203,00 44 (0) 1527 577 675,SCPFIPUK,N,ACT,DC,N,360,1
9241204,Miss,DefaultJoinACCTAI,New Joiner in BY,Test,IPUKACCT Reg IA,F,SP241204A,01/02/1945,Any Street 45,Any Street 45,Any address 45,town1,county1,country11,EC5A 9EP,+44(0) 7405791732,staff11@slvalidationformorethancharatersvalidationformorethancharatersvalidationformorethancharatersvalidationformorethancharaters.com,24/12/2012,,,,Y,9241204,297615.125,297615.125,9241204,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9241205,"M,rs",DefaultJoinACCTAJ,New Joiner in BY,Test,IPUKACCT Reg JA,M,SP241205A,01/02/1947,Any Street 46,Any Street 46,Any address 46,town1,county1,country11,EC5A 9EP,+44 (0) 7405791732,staff11@sl.com,24/12/2012,,"""Tester""",Grade 03,Y,9241205,297615,297615,9241205,+44 (0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9241206,Dame,DefaultJoinACCTAFA,New Joiner in BY,Test,IPUKACCT Reg FB,M,SP241206A,01/02/1957,Any Street 47,Any Street 47,Any address 47,town1,county1,country11,EC5A 9EP,45 (0) 1359250396,staff11@sl.com,24/12/2012,,"Test,er","Grade ""03""",Y,9241206,297615.2092,297615.2092,9241206,45 (0) 1359250396,SCPFIPUK,N,ACT,DC,N,360,1
9241207,Dr,DefaultJoinACCTAGA,New Joiner in BY,Test,IPUKACCT Reg GB,F,SP241207A,01/04/1967,Any Street 48,Any Street 48,Any address 48,town1,county1,country11,EC5A 9EP,1 44 (0) 1527 577675,staff11@sl.com,24/12/2012,,,"Grade,02",Y,9241207,297615.2106,297615.2106,9241207,1 44 (0) 1527 577675,SCPFIPUK,N,ACT,DC,N,360,1
9241208,Mr,DefaultJoinACCTAHA,New Joiner in BY,Test,IPUKACCT Reg HB,M,SP241208A,01/04/1972,Any Street 49,Any Street 49,Any address 49,town1,county1,country11,"EC5A,9EP",1 44 (0) 1527 577 675,staff11@sl.com,24/12/2012,,,,Y,9241208,297615.212,297615.212,9241208,1 44 (0) 1527 577 675,SCPFIPUK,N,ACT,DC,N,360,1
9241209,Miss,DefaultJoinACCTAIA,New Joiner in BY,Test,IPUKACCT Reg IB,F,SP241209A,02/31/1945,Any Street 50,Any Street 50,Any address 50,town1,county1,country11,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,24/12/2012,,,,Y,9241209,297615.2134,297615.2134,9241209,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9241210,Mrs,DefaultJoinACCTAJA,New Joiner in BY,Test,IPUKACCT Reg JB,M,"SP241210,A",01/02/1947,Any Street 51,Any Street 51,Any address 51,town1,county1,country11,EC5A 9EP,+44 (0) 7405791732,staff11@sl.com,24/12/2012,,,,Y,9241210,297615.2148,297615.2148,9241210,+44 (0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
