Employee ID,Title,Forename,Preferred Name,Middle Name,Surname,Gender,National Insurance Number,Date of Birth,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Home Telephone,Email Address,Start Date,Continuous Service Date,Date of Termination,Job Title,Job Grade,Organisational field 9,Organisational field 10,Organisational field 25,Organisational field 26,Payroll,Payroll Number,Annual Salary,Pensionable Salary,Username,Work Telephone,Site,LTA,MTA Status,Pension,Expat,Annual Hours,FTE
9240801,Dame,Newjoinerone,Newjoinerone,Njmidnameone,Njsurnameone,M,SP240801A,01/02/1957,Addone 1,Addtwo 1,Addthree 3,town1,county1,country1,EC5A 9EP,45 (0) 1359250396,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240801,250000,250000,9240801,45 (0) 1359250396,SCPFIPUK,N,ACT,DC,N,360,1
9240802,Ms,Newjoinertwo,Newjoinertwo,Njmidnametwo,Njsurnametwo,F,SP240802A,01/04/1967,Addone 2,Addtwo 2,Addthree 4,town2,county2,country2,EC5A 9EP,1 44 (0) 1527 577675,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240802,250000,250000,9240802,1 44 (0) 1527 577675,SCPFIPUK,N,ACT,DC,N,360,1
9240803,Mr,Newjoinerthree,Newjoinerthree,Njmidnamethree,Njsurnamethree,M,SP240803A,01/04/1972,Addone 3,Addtwo 3,Addthree 5,town3,county3,country3,EC5A 9EP,1 44 (0) 1527 577 675,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240803,250000,250000,9240803,1 44 (0) 1527 577 675,SCPFIPUK,N,ACT,DC,N,360,1
9240804,Miss,Newjoinerfour,Newjoinerfour,Njmidnamefour,Njsurnamefour,F,SP240804A,02/05/1945,Addone 4,Addtwo 4,Addthree 6,town4,county4,country4,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240804,250000,250000,9240804,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9240805,Mrs,Newjoinerfive,Newjoinerfive,Njmidnamefive,Njsurnamefive,M,SP240805A,01/02/1947,Addone 5,Addtwo 5,Addthree 7,town5,county5,country5,EC5A 9EP,+44 (0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240805,250000,250000,9240805,+44 (0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9240806,Dame,Newjoinersix,Newjoinersix,Njmidnamesix,Njsurnamesix,M,SP240806A,01/02/1957,Addone 6,Addtwo 6,Addthree 8,town6,county6,country6,EC5A 9EP,46 (0) 1359250396,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240806,250000,250000,9240806,0044 (0) 1359250396,SCPFIPUK,N,ACT,DC,N,360,1
9240807,Dr,Newjoinerseven,Newjoinerseven,Njmidnameseven,Njsurnameseven,F,SP240807A,01/04/1967,Addone 7,Addtwo 7,Addthree 9,town7,county7,country7,EC5A 9EP,2 44 (0) 1527 577675,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240807,250000,250000,9240807,00 44 (0) 1527 577675,SCPFIPUK,N,ACT,DC,N,360,1
9240808,Mr,Newjoinereight,Newjoinereight,Njmidnameeight,Njsurnameeight,M,SP240808A,01/04/1972,Addone 8,Addtwo 8,Addthree 10,town8,county8,country8,EC5A 9EP,2 44 (0) 1527 577 675,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240808,250000,250000,9240808,00 44 (0) 1527 577 675,SCPFIPUK,N,ACT,DC,N,360,1
9240809,Miss,Newjoinernine,Newjoinernine,Njmidnamenine,Njsurnamenine,F,SP240809A,01/04/1972,Addone 9,Addtwo 9,Addthree 11,town9,county9,country9,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240809,250000,250000,9240809,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9240810,Mrs,Newjoinerten,Newjoinerten,Njmidnameten,Njsurnameten,M,SP240810A,01/02/1947,Addone 9,Addtwo 10,Addthree 12,town10,county10,country10,EC5A 9EP,+44 (0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9240810,250000,250000,9240810,+44 (0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
