Employee ID,Title,Forename,Preferred Name,Middle Name,Surname,Gender,National Insurance Number,Date of Birth,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Home Telephone,Email Address,Start Date,Continuous Service Date,Date of Termination,Job Title,Job Grade,Organisational field 9,Organisational field 10,Organisational field 25,Organisational field 26,Payroll,Payroll Number,Annual Salary,Pensionable Salary,Username,Work Telephone,Site,LTA,MTA Status,Pension,Expat,Annual Hours,FTE
9290801,Dame,Newjforeone,Newjforeone,Newjmidone,Newjsurone,M,SP290801A,01/02/1957,Addone 1,Addtwo 1,Addthree 1,town1,county1,country1,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290801,250000,250000,9290801,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290802,Ms,Newjforetwo,Newjforetwo,Newjmidtwo,Newjsurtwo,F,SP290802A,01/04/1967,Addone 2,Addtwo2,Addthree 2,town2,county2,country2,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290802,250000,250000,9290802,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290803,Mr,Newjforethree,Newjforethree,Newjmidthree,Newjsurthree,M,SP290803A,01/04/1972,Addone 3,Addtwo3,Addthree 3,town3,county3,country3,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290803,250000,250000,9290803,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290804,Miss,Newjforefour,Newjforefour,Newjmidfour,Newjsurfour,F,SP290804A,02/05/1945,Addone 4,Addtwo4,Addthree 4,town4,county4,country4,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290804,250000,250000,9290804,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290805,Mrs,Newjforefive,Newjforefive,Newjmidfive,Newjsurfive,M,SP290805A,01/02/1947,Addone 5,Addtwo5,Addthree 5,town5,county5,country5,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290805,250000,250000,9290805,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290806,Dame,Newjforesix,Newjforesix,Newjmidsix,Newjsursix,M,SP290806A,01/02/1957,Addone 6,Addtwo 6,Addthree 6,town6,county6,country6,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290806,250000,250000,9290806,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290807,Dr,Newjforeseven,Newjforeseven,Newjmidseven,Newjsurseven,F,SP290807A,01/04/1967,Addone 7,Addtwo 7,Addthree 7,town7,county7,country7,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290807,250000,250000,9290807,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290808,Mr,Newjforeeight,Newjforeeight,Newjmideight,Newjsureight,M,SP290808A,01/04/1972,Addone 8,Addtwo 8,Addthree 8,town8,county8,country8,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290808,250000,250000,9290808,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290809,Miss,Newjforenine,Newjforenine,Newjmidnine,Newjsurnine,F,SP290809A,01/04/1972,Addone 9,Addtwo 9,Addthree 9,town9,county9,country9,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290809,250000,250000,9290809,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290810,Mrs,Newjforeten,Newjforeten,Newjmidten,Newjsurten,M,SP290810A,01/02/1947,Addone 10,Addtwo 10,Addthree 10,town10,county10,country10,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290810,250000,250000,9290810,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290811,Dame,Newjforeeleven,Newjforeeleven,Newjmideleven,Newjsureleven,M,SP290811A,01/02/1957,Addone 11,Addtwo 11,Addthree 11,town11,county11,country11,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290811,250000,250000,9290811,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290812,Ms,Newjforetwelve,Newjforetwelve,Newjmidtwelve,Newjsurtwelve,F,SP290812A,01/04/1967,Addone 12,Addtwo 12,Addthree 12,town12,county12,country12,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290812,250000,250000,9290812,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290813,Mr,Newjforethirteen,Newjforethirteen,Newjmidthirteen,Newjsurthirteen,M,SP290813A,01/04/1972,Addone 13,Addtwo 13,Addthree 13,town13,county13,country13,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290813,250000,250000,9290813,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290814,Miss,Newjforefourteen,Newjforefourteen,Newjmidfourteen,Newjsurfourteen,F,SP290814A,02/05/1945,Addone 14,Addtwo 14,Addthree 14,town14,county14,country14,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290814,250000,250000,9290814,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290815,Mrs,Newjforefifteen,Newjforefifteen,Newjmidfifteen,Newjsurfifteen,M,SP290815A,01/02/1947,Addone 15,Addtwo 15,Addthree 15,town15,county15,country15,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290815,250000,250000,9290815,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290816,Dame,Newjforesixteen,Newjforesixteen,Newjmidsixteen,Newjsursixteen,M,SP290816A,01/02/1957,Addone 16,Addtwo 16,Addthree 16,town16,county16,country16,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290816,250000,250000,9290816,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290817,Dr,Newjforeseventeen,Newjforeseventeen,Newjmidseventeen,Newjsurseventeen,F,SP290817A,01/04/1967,Addone 17,Addtwo 17,Addthree 17,town17,county17,country17,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290817,250000,250000,9290817,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290818,Mr,Newjforeeightteen,Newjforeeightteen,Newjmideightteen,Newjsureightteen,M,SP290818A,01/04/1972,Addone 18,Addtwo 18,Addthree 18,town18,county18,country18,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290818,250000,250000,9290818,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290819,Miss,Newjforenineteen,Newjforenineteen,Newjmidnineteen,Newjsurnineteen,F,SP290819A,01/04/1972,Addone 19,Addtwo 19,Addthree 19,town19,county19,country19,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290819,250000,250000,9290819,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290820,Mrs,Newjforetwenty,Newjforetwenty,Newjmidtwenty,Newjsurtwenty,M,SP290820A,01/02/1947,Addone 20,Addtwo 20,Addthree 20,town20,county20,country20,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290820,250000,250000,9290820,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290821,Dame,Newjforetwentyone,Newjforetwentyone,Newjmidtwentyone,Newjsurtwentyone,M,SP290821A,01/02/1957,Addone 21,Addtwo 21,Addthree 21,town21,county21,country21,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290821,250000,250000,9290821,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290822,Ms,Newjforetwentytwo,Newjforetwentytwo,Newjmidtwentytwo,Newjsurtwentytwo,F,SP290822A,01/04/1967,Addone 22,Addtwo 22,Addthree 22,town22,county22,country22,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290822,250000,250000,9290822,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290823,Mr,Newjforetwentythree,Newjforetwentythree,Newjmidtwentythree,Newjsurtwentythree,M,SP290823A,01/04/1972,Addone 23,Addtwo 23,Addthree 23,town23,county23,country23,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290823,250000,250000,9290823,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290824,Miss,Newjforetwentyfour,Newjforetwentyfour,Newjmidtwentyfour,Newjsurtwentyfour,F,SP290824A,02/05/1945,Addone 24,Addtwo 24,Addthree 24,town24,county24,country24,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290824,250000,250000,9290824,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290825,Mrs,Newjforetwentyfive,Newjforetwentyfive,Newjmidtwentyfive,Newjsurtwentyfive,M,SP290825A,01/02/1947,Addone 25,Addtwo 25,Addthree 25,town25,county25,country25,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290825,250000,250000,9290825,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290826,Dame,Newjforetwentysix,Newjforetwentysix,Newjmidtwentysix,Newjsurtwentysix,M,SP290826A,01/02/1957,Addone 26,Addtwo 26,Addthree 26,town26,county26,country26,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290826,250000,250000,9290826,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290827,Dr,Newjforetwentyseven,Newjforetwentyseven,Newjmidtwentyseven,Newjsurtwentyseven,F,SP290827A,01/04/1967,Addone 27,Addtwo 27,Addthree 27,town27,county27,country27,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290827,250000,250000,9290827,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290828,Mr,Newjforetwentyeight,Newjforetwentyeight,Newjmidtwentyeight,Newjsurtwentyeight,M,SP290828A,01/04/1972,Addone 28,Addtwo 28,Addthree 28,town28,county28,country28,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290828,250000,250000,9290828,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290829,Miss,Newjforetwentynine,Newjforetwentynine,Newjmidtwentynine,Newjsurtwentynine,F,SP290829A,01/04/1972,Addone 29,Addtwo 29,Addthree 29,town29,county29,country29,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290829,250000,250000,9290829,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290830,Mrs,Newjforethitry,Newjforethitry,Newjmidthitry,Newjsurthitry,M,SP290830A,01/02/1947,Addone 30,Addtwo 30,Addthree 30,town30,county30,country30,EC5A 9EP,0044(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290830,250000,250000,9290830,0044(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
9290831,Dame,Newjforethirtyone,Newjforethirtyone,Newjmidthirtyone,Newjsurthirtyone,M,SP290831A,01/02/1957,Addone 31,Addtwo 31,Addthree 31,town31,county31,country31,EC5A 9EP,+44(0) 7405791732,staff11@sl.com,01/06/2014,01/06/2014,,,,,,,,Y,9290831,250000,250000,9290831,+44(0) 7405791732,SCPFIPUK,N,ACT,DC,N,360,1
