EIN,NI Number,Last Name,Title,Initials,First Name,Gender,Birth Date,Date of Joining,Date of Continuous Service,Working Location,Job Grade,Job Title,Base Salary,Base Salary Effective Date,Cost Centre Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postal Code,Office e-mail Address,Office Post Code,Mobile Phone Number,Weekly Working Hours,Work Schedule Rule Hours,Working Status,Employment Status,Employment Status 2,Effective Date of Employment Status,Date of Termination,Contract Type,FTC End Date,Medical Default,Holiday Basis,Contractual Holiday,Holiday Allowance,Sales Commission Targets,Retention Team/Retail Bonus,Company Car/Cash,Health Assessments,Dental,Financial Planning,Permanent Health Insurance,Leaving Reason
25355101,RR535501A,Aaa,Mr,,AutoAAa,M,22051960,15072014,15072014,SKY-G3,CSA2,111056,110260,15072014,OCS38,47,Lincoln Avenue,Knightswood,Glasgow,G13 3RH,David.O'Neill@O2.COM,QG3 8EP,7850485760,19,37.5,A,,,,,L,,,Hourly,25,76.5,,,,N,,,N,
25355102,RR535502A,Bbb,Mr,,AutoBBb,M,20051961,15072014,15072014,HMP-NW,A10-R,111161,110261,15072014,OCDDPI,48,Oxford & Cambridge Mansions,Transept Street,Marlebourne,NW1 5EJ,Daran.Akintola@O2.COM,NW3 1QE,,16,38,A,,,,,L,,,Hourly,25,96,,,,N,,,N,
25355103,RR535503A,Ccc,Mr,,AutoCCc,M,20051962,15072014,15072014,MPS-MY,RCGS2O,111013,110262,15072014,OCDDGJ,49,Lincoln Avenue,Knightswood,Bedford,MK40 3DU,John.Cain@O2.COM,MK4 1SY,0779 3856861,37.5,37.5,A,,,,,L,,Employee + Partner,Daily,29.5,30.5,,,,N,,,N,
25355104,RR535504A,Ddd,Miss,,AutoDDd,F,12051963,15072014,15072014,THM-BL,A10-R,111161,110263,15072014,OCDDSS,50,Oxford & Cambridge Mansions,Transept Street,Leeds,BL8 1BR,Katie.Astin@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355105,RR535505A,Eee,Dr,,AutoEEe,M,20051977,15072014,15072014,ARL-LS,MPG2,111189,110264,15072014,OCS331,51,Lincoln Avenue,Knightswood,Edinburgh,BD7 4LQ,a@O2.COM,LS1 1ER,,37,37,A,,,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
25355106,RR535506A,Fff,Mrs,,AutoFFf,F,20051965,15072014,15072014,THM-BL,A10-R,111161,110265,15072014,OCDDSS,52,Oxford & Cambridge Mansions,Transept Street,London,BL8 1BR,b@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355107,RR535507A,Ggg,Mr,,AutoGGg,M,20041966,15072014,15072014,ARL-LS,MPG2,111189,110266,15072014,OCS331,53,Lincoln Avenue,Knightswood,Luton,BD7 4LQ,c@O2.COM,LS1 1ER,,37,37,A,,,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
25355108,RR535508A,Hhh,Ms,,AutoHHh,F,20051967,15072014,15072014,THM-BL,A10-R,111161,110267,15072014,OCDDSS,54,Oxford & Cambridge Mansions,Transept Street,Ilford,BL8 1BR,d@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355109,RR535509A,Iii,Mr,,AutoIIi,M,15051968,15072014,15072014,ARL-LS,MPG2,111189,110268,15072014,OCS331,55,Lincoln Avenue,Knightswood,BRADFORD,BD7 4LQ,e@O2.COM,LS1 1ER,,37,37,A,,,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
25355110,RR535510A,Jjj,Dr,,AutoKKkk,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,56,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355111,RR535511A,Jjj,Dr,,AutoLLl,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,57,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355112,RR535512A,Jjj,Dr,,AutoMMmm,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,58,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355113,RR535513A,Jjj,Dr,,AutoNNnn,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,59,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355114,RR535514A,Jjj,Dr,,AutoOOoo,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,60,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355115,RR535515A,Jjj,Dr,,AutoPPpp,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,61,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
25355116,RR535516A,Jjjgg,Dr,,AutQQPpp,F,20071969,15072014,15072014,THM-BL,A10-R,111161,110269,15072014,OCDDSS,61,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,20,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
