EIN,NI Number,Last Name,Title,Initials,First Name,Gender,Birth Date,Date of Joining,Date of Continuous Service,Working Location,Job Grade,Job Title,Base Salary,Base Salary Effective Date,Cost Centre Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postal Code,Office e-mail Address,Office Post Code,Mobile Phone Number,Weekly Working Hours,Work Schedule Rule Hours,Working Status,Employment Status,Employment Status 2,Effective Date of Employment Status,Date of Termination,Contract Type,FTC End Date,Medical Default,Holiday Basis,Contractual Holiday,Holiday Allowance,Sales Commission Targets,Retention Team/Retail Bonus,Company Car/Cash,Health Assessments,Dental,Financial Planning,Permanent Health Insurance,Leaving Reason
319220022,RR319022A,KaneiA,Mr,,DavidaA,M,20051960,10012014,,SKY-G3,CSA2,100056,110260,10012014,OCS38,47,Lincoln Avenue,Knightswood,Glasgow,G13 3RH,David.O'Neill@O2.COM,QG3 8EP,7850485760,19,37.5,A,MAT,,,,L,,,Hourly,25,76.5,,,,N,,,N,
319220023,RR319023A,TripleiA,Mr,,DaranfA,M,20051961,11012014,11012014,HMP-NW,A10-R,100161,110261,11012014,OCDDPI,48,Oxford & Cambridge Mansions,Transept Street,Marlebourne,NW1 5EJ,Daran.Akintola@O2.COM,NW3 1QE,,18,38,A,HIS,,,,L,,,Hourly,25,96,,,,N,,,N,
319220024,RR319024A,VinceiA,Mr,D,JohnbA,M,20051962,12012014,,MPS-MY,RCGS2O,100013,110262,12012014,OCDDGJ,49,Lincoln Avenue,Knightswood,Bedford,MK40 3DU,John.Cain@O2.COM,MK4 1SY,0779 3856861,37.5,37.5,A,UNM,,,,L,,Employee + Partner,Daily,29.5,30.5,,,,N,,,N,
319220025,RR319025A,StephinAei,Miss,,PagieeA,F,20051963,11012014,11012014,THM-BL,A10-R,100161,110263,11012014,OCDDSS,50,Oxford & Cambridge Mansions,Transept Street,Leeds,BL8 1BR,Katie.Astin@o2.com,BL9 1QQ,7703820070,24,38,A,UNP,,,,L,,,Hourly,23,106,,,,N,,,N,
319220026,RR319026A,ShaneiA,Dr,,McmanvA,M,20051964,14012014,,ARL-LS,MPG2,100189,110264,14012014,OCS331,51,Lincoln Avenue,Knightswood,Edinburgh,BD7 4LQ,a@O2.COM,LS1 1ER,,37,37,A,,Long Term,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
319220027,RR319027A,MarkiA,Mrs,,McMillinAa,F,20051965,15012014,15012014,THM-BL,A10-R,100161,110265,15012014,OCDDSS,52,Oxford & Cambridge Mansions,Transept Street,London,BL8 1BR,b@o2.com,BL9 1QQ,7703820070,24,38,A,HIR,,,,L,,,Hourly,23,106,,,,N,,,N,
319220028,RR319028A,PeteriA,Mr,,HoldernA,M,20051966,16012014,,ARL-LS,MPG2,100189,110266,16012014,OCS331,53,Lincoln Avenue,Knightswood,Luton,BD7 4LQ,c@O2.COM,LS1 1ER,,37,37,A,,Short Term,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
319220029,RR319029A,PanzA,Ms,,JacksonrA,F,20051967,17012014,17012014,THM-BL,A10-R,100161,110267,17012014,OCDDSS,54,Oxford & Cambridge Mansions,Transept Street,Ilford,BL8 1BR,d@o2.com,BL9 1QQ,7703820070,20,38,A,HALF PAY,,,,L,,,Hourly,23,106,,,,N,,,N,
319220030,RR319030A,ParkeriA,Mr,,KalliskA,M,20051968,18012014,,ARL-LS,MPG2,100189,110268,18012014,OCS331,55,Lincoln Avenue,Knightswood,BRADFORD,BD7 4LQ,e@O2.COM,LS1 1ER,,37,37,A,MAT,,,,L,,Family,Hourly,29.5,225,,,,N,,,N,
319220031,RR319031A,ClarkoA,Dr,,ZuluqA,F,20051969,18012014,19012014,THM-BL,A10-R,100161,110269,19012014,OCDDSS,56,Oxford & Cambridge Mansions,Transept Street,bury,BL8 1BR,f@o2.com,BL9 1QQ,7703820070,24,38,A,,,,,L,,,Hourly,23,106,,,,N,,,N,
