Staff number,Title,First name,Middle name,Surname,Preferred name,Date of birth,Gender,National insurance number,Benefit name,Benefit provider,Qualifier,Option selected,Option group,Coverage selected,Employee monthly premium,Employee annual premium,Provider monthly premium,Provider annual premium,Funded monthly amount,Funded annual amount,Employee monthly net cost,Employee annual net cost,Pension %,Cover start date,Reason,Childcare voucher opt out date,Childcare voucher tax regime,Holiday Buy/Sell,Holiday Units,Holiday Number,Holiday Entitlement,Underwriting status,Underwriting decision effective date,Underwriting decision expiry date,Underwriting percentage weighting,Underwriting restricted cover amount,Underwriting Approval Pending,Marital status,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Address line 6,Address line 7,Address line 8,Home phone number,Mobile number,Home email address,Organisation field 1,Organisation field 2,Organisation field 3,Organisation field 4,Organisation field 5,Organisation field 6,Organisation field 7,Organisation field 8,Organisation field 9,Organisation field 10,Organisation field 11,Organisation field 12,Organisation field 13,Organisation field 14,Organisation field 15,Organisation field 16,Organisation field 17,Organisation field 18,Organisation field 19,Organisation field 20,Organisation field 21,Organisation field 22,Organisation field 23,Organisation field 24,Organisation field 25,Organisation field 26,Organisation field 27,Organisation field 28,Organisation field 29,Organisation field 30,Personal spare 1,Personal spare 2,Personal spare 3,Job title,Start date,Continuous service date,Working days per year,Annual hours,Work phone number,Work email address,Employee payroll number,Actual salary,Additional salary 1,Additional salary 2,Additional salary 3,Additional salary 4,Leaving Date,FTE,Dependant 1 date of birth,Dependant 1 first name,Dependant 1 gender,Dependant 1 middle name,Dependant 1 relationship,Dependant 1 student flag,Dependant 1 surname,Dependant 2 date of birth,Dependant 2 first name,Dependant 2 gender,Dependant 2 middle name,Dependant 2 relationship,Dependant 2 student flag,Dependant 2 surname,Dependant 3 date of birth,Dependant 3 first name,Dependant 3 gender,Dependant 3 middle name,Dependant 3 relationship,Dependant 3 student flag,Dependant 3 surname,Dependant 4 date of birth,Dependant 4 first name,Dependant 4 gender,Dependant 4 middle name,Dependant 4 relationship,Dependant 4 student flag,Dependant 4 surname,Dependant 5 date of birth,Dependant 5 first name,Dependant 5 gender,Dependant 5 middle name,Dependant 5 relationship,Dependant 5 student flag,Dependant 5 surname,Dependant 6 date of birth,Dependant 6 first name,Dependant 6 gender,Dependant 6 middle name,Dependant 6 relationship,Dependant 6 student flag,Dependant 6 surname,Dependant 7 date of birth,Dependant 7 first name,Dependant 7 gender,Dependant 7 middle name,Dependant 7 relationship,Dependant 7 student flag,Dependant 7 surname,Dependant 8 date of birth,Dependant 8 first name,Dependant 8 gender,Dependant 8 middle name,Dependant 8 relationship,Dependant 8 student flag,Dependant 8 surname,Dependant 9 date of birth,Dependant 9 first name,Dependant 9 gender,Dependant 9 middle name,Dependant 9 relationship,Dependant 9 student flag,Dependant 9 surname,Dependant 10 date of birth,Dependant 10 first name,Dependant 10 gender,Dependant 10 middle name,Dependant 10 relationship,Dependant 10 student flag,Dependant 10 surname
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,2014 Life Assurance - Employee,Canada Life,,No Cover," ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,01/07/2014,Joiner,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employee Contribution,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employee Discounted,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employer Entitlement,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employer Matched,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employer Modifier,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employer Refund,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Employer Uplift,8% Contribution," ",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,Pension (Nalco Limited 2002 Pension Plan) 8% Cont.,,Total Contribution %,8% Contribution,,,,,,,,,,,8.00,01/07/2014,Pension Selection,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,01/07/2014,01/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120489,Dr,NI007543N,,Text,Text,24/07/1984,M,NI007543D,2014 Life Assurance - Employee,Canada Life,,No Cover," ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,24/07/2014,Joiner,,,,,,,None,,,,,,Single,sanitised,sanitised,,,,,,Text,1234567890,1234567890,sanitised@vebnet.com,No,0,0,,East,,0,,DB member,ACT,4005,0,10,,,,,,,,,,,,,,Flex Percentage 2011,Main Payroll,,,,,,,24/07/2014,24/07/2014,260.00,0.00,1234567890,sanitised@vebnet.com,Text,16215.00,0.00,0.00,0.00,0.00,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
